RANK 	ATHLETES             	AGE 	YOB  	CLUB  	PROVINCE         	DATE       	MEET                                                                            	TIME  	FINA
1    	Fullum-Huot, Edouard 	16  	2002 	PCSC  	Québec           	2019-12-06 	Invitation décembre Pointe-Claire 2019                                          	23.77 	680
2    	Weaver, Liam         	16  	2003 	CASC  	Alberta          	2019-12-06 	Invitation décembre Pointe-Claire 2019                                          	23.83 	675
3    	Bilous, Jayden       	16  	2003 	GOLD  	Saskatchewan     	2019-12-19 	Goldfins 2019 Christmas Time Trial                                              	24.83 	597
4    	Tong, Eric           	16  	2002 	WDSC  	British Columbia 	2019-11-23 	SKSC November Long Course Invitational                                          	24.87 	594
5    	Bracho, Quitze       	16  	2003 	CW    	Ontario          	2019-12-06 	Invitation décembre Pointe-Claire 2019                                          	24.89 	592
6    	Fernando, Dillon     	16  	2003 	RAMAC 	Ontario          	2019-11-09 	TYR Pro Swim Series #1                                                          	24.92 	590
7    	Drolet, Nicolas      	16  	2003 	UL    	Québec           	2019-11-22 	Invitation CNQ Novembre 2019                                                    	24.97 	587
8    	Kuzak, Zachary       	16  	2003 	PCSC  	Québec           	2019-12-06 	Invitation décembre Pointe-Claire 2019                                          	24.99 	585
9    	Karlov, Evan         	16  	2003 	WS    	Ontario          	2019-11-30 	2nd Annual Union Cup                                                            	25.06 	580
10   	Simonov, Dennis      	16  	2003 	CAMO  	Québec           	2019-12-08 	Invitation provinciale de Noël CAMO 2019 groupes d'âge incluant 10 ans et moins 	25.41 	557
11   	Caron, Jérémie       	16  	2003 	CAMO  	Québec           	2019-12-08 	Invitation provinciale de Noël CAMO 2019 groupes d'âge incluant 10 ans et moins 	25.59 	545
12   	Tichy, Reid          	16  	2003 	RHAC  	Ontario          	2019-10-19 	2019 RHAC Fall Classic                                                          	25.64 	542
13   	Stone, Kieran        	16  	2003 	CW    	Ontario          	2019-12-06 	Invitation décembre Pointe-Claire 2019                                          	25.65 	541
14   	Stein, Fynn          	16  	2003 	WDSC  	British Columbia 	2019-11-23 	SKSC November Long Course Invitational                                          	25.71 	537
15   	Risk, William        	16  	2003 	ROCS  	Ontario          	2019-12-06 	Invitation décembre Pointe-Claire 2019                                          	25.86 	528
16   	Volodin, Artiom      	16  	2003 	CAMO  	Québec           	2019-12-08 	Invitation provinciale de Noël CAMO 2019 groupes d'âge incluant 10 ans et moins 	25.95 	523
17   	Peckham, Gregory     	16  	2003 	WS    	Ontario          	2019-11-30 	2nd Annual Union Cup                                                            	26.14 	511
18   	Zuchowski, Alexandre 	16  	2003 	SAMAK 	Québec           	2019-12-08 	Invitation décembre Pointe-Claire 2019                                          	26.25 	505
19   	Rocheleau, Jérémy    	16  	2003 	CASE  	Québec           	2019-12-06 	Invitation décembre Pointe-Claire 2019                                          	26.27 	504
20   	Groisman, Jonathan   	16  	2002 	VAC   	Ontario          	2019-10-20 	2019 RHAC Fall Classic                                                          	26.33 	500
21   	Stavnitzky, Emmett   	16  	2003 	WRMS  	Ontario          	2019-10-20 	2019 RHAC Fall Classic                                                          	26.37 	498
22   	Strople, Alex        	16  	2003 	OAK   	Ontario          	2019-11-24 	Long Course CAN-AM Challenge 2019                                               	26.40 	496
23   	Rapp, Jacob          	16  	2003 	WSSC  	Ontario          	2019-10-20 	2019 RHAC Fall Classic                                                          	26.41 	496
24   	Basi, Armaan         	16  	2003 	SKSC  	British Columbia 	2019-10-19 	2019 October Senior Circuit                                                     	26.49 	491
25   	Coubrough, Dyllon    	16  	2003 	BTSC  	Ontario          	2019-12-06 	Invitation décembre Pointe-Claire 2019
